list_number,name,role_org,connection_to_solomon,category,subcategory
265,Alex Hanna,"Director of Research, Distributed AI Research Institute (DAIR)",Works with Timnit Gebru on AI harms research; her focus on data labor and classification systems supports Solomon's institutional analysis.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
266,Pratyusha Kalluri,"PhD Researcher, Stanford","Studies surveillance and power dynamics in AI systems; her ""power-aware"" approach to AI ethics reframes institutional risk in ways useful to Solomon.",Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
267,Michael Veale,"Associate Professor, UCL Faculty of Laws",Expert on AI regulation and data protection; his work on GDPR enforcement and AI accountability provides legal frameworks for Solomon's institutional approach.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
268,Reuben Binns,"Associate Professor, Oxford; former data ethics lead, ICO",Bridges AI ethics research and regulatory practice; his experience with the UK's Information Commissioner informs Solomon's institutional governance approach.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
269,Inioluwa Deborah Raji,(see #82) Cross-listed as an emerging scholar bridging audit methodology and institutional accountability.,,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
269,Rediet Abebe,(see #83) Cross-listed as a connector bridging computational social science and equity-focused institutional work.,,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
269,Mhairi Aitken,"Ethics Fellow, Alan Turing Institute",Researches public trust in AI and data governance; her community engagement methodology informs Solomon's approach to earning institutional trust.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
270,Reva Schwartz,"Senior Advisor for AI, NIST",Helps develop the NIST AI Risk Management Framework; this governmental standard-setting directly creates infrastructure Solomon can leverage.,Academic Bridge Figures & Emerging Scholars,Academic Bridge Figures & Emerging Scholars
271,Samir Jain,"VP of Policy, Center for Democracy & Technology",Leads AI policy work at a major digital rights organization; CDT's institutional advocacy connects Solomon to policy implementation.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
272,Caitriona Fitzgerald,"Deputy Director, Electronic Privacy Information Center (EPIC)",Leads privacy and AI accountability advocacy; EPIC's institutional litigation and policy work supports Solomon's governance goals.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
273,Meredith Broussard,"Associate Professor, NYU; Author of *More Than a Glitch*","Critiques techno-solutionism and racial bias in AI; her journalism and academic work bridges media, academia, and advocacy communities.",Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
274,Daron Acemoglu's collaborators — Simon Johnson,"Professor, MIT Sloan; Nobel Prize in Economics (2024)",Co-author of *Power and Progress*; argues technology must be redirected to benefit ordinary people and institutions — directly articulating Solomon's mission.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
275,Marietje Schaake,"International Policy Director, Stanford Cyber Policy Center; former MEP",Bridges European and American technology policy; her experience as a European Parliament member and Stanford researcher connects institutional networks across the Atlantic.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
276,Yoshua Bengio's network — Sébastien Lachapelle,"Researcher, Mila (Montreal)",Works on causal representation learning at Bengio's institute; represents the next generation of safety-conscious AI researchers Solomon should engage.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
277,Joelle Pineau,"VP of AI Research, Meta; Co-managing Director, Mila",Bridges industry AI research and academic safety work; her focus on reproducibility and responsible AI supports Solomon's evidence-based approach.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
278,Finale Doshi-Velez,"Professor, Harvard; former White House AI adviser",Expert on interpretable machine learning and AI regulation; her work on making AI systems understandable supports Solomon's institutional transparency goals.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
279,Cynthia Rudin,"Professor, Duke; MacArthur Fellow",Champions interpretable machine learning over black-box models; her advocacy for transparent AI in high-stakes institutional decisions directly supports Solomon.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
280,John Tasioulas,"Director, Institute for Ethics in AI, Oxford",Philosopher leading one of the world's foremost AI ethics institutes; his human rights-based framework for AI governance informs Solomon's institutional approach.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
281,Shannon Vallor,"Professor, University of Edinburgh; Author of *Technology and the Virtues*",Leading AI ethicist focused on moral character and technology; her virtue ethics approach to AI provides philosophical depth for Solomon's mission.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
282,Mark Coeckelbergh,"Professor, University of Vienna; Author of *AI Ethics*",Bridges European and global AI ethics discourse; his philosophical work on technology and political institutions informs Solomon's governance approach.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
283,Wendell Wallach,"Senior Advisor, Hastings Center; Author of *A Dangerous Master*",Pioneer in machine morality and AI governance; his work bridging ethics and engineering provides practical frameworks for Solomon.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
284,Peter Eckersley,(posthumous — his collaborators continue his legacy at Partnership on AI),Was a key figure bridging EFF digital rights advocacy and AI safety; his former colleagues at PAI continue institutional governance work Solomon builds on.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
285,Oren Etzioni's network — Carissa Schoenick,"Program Manager, AI2",Manages research programs at the Allen Institute; accessible connector within the beneficial AI research community.,Civil Society & Advocacy Connectors,Civil Society & Advocacy Connectors
286,Vinod Khosla,"Founder, Khosla Ventures",Major AI investor increasingly vocal about AI's societal impact; his investment platform and public commentary could amplify Solomon's institutional message.,Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
287,Hemant Taneja,"CEO, General Catalyst; Author of *Unscaled*","Leads a major VC firm focused on ""responsible innovation""; his thesis that AI enables institutional ""unscaling"" connects to Solomon's concerns about institutional disruption.",Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
288,Deval Patrick,"Former Governor, Massachusetts; now at impact investment firm Bain Capital Double Impact","Bridges politics, business, and social impact; his institutional leadership experience and network could connect Solomon to political and financial leaders.",Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
289,Jacqueline Novogratz,"Founder & CEO, Acumen",Pioneer of impact investing; her global network of social entrepreneurs could adopt Solomon's institutional protection approach.,Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
290,Leila Janah,"(posthumous — her organization Samasource, now Sama, continues)",Sama provides AI training data through fair-wage employment; the organization exemplifies institutional approaches to AI labor that Solomon supports.,Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
291,Wes Moore,Governor of Maryland,Focuses on equity and institutional reform; his political platform and personal brand could amplify Solomon's message about AI's impact on communities and civic institutions.,Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
292,Andrew Yang,"Founder, Forward Party; Author of *The War on Normal People*",Popularized concerns about AI-driven job displacement; his UBI advocacy and political network connect to Solomon's institutional economic protection mission.,Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
293,Ro Khanna,"US Representative, California; author of *Dignity in a Digital Age*","Congressional leader on technology and economic policy; his ""internet for all"" vision connects to Solomon's civic infrastructure protection.",Impact Investors & Social Entrepreneurs,Impact Investors & Social Entrepreneurs
294,Nanjira Sambuli,Digital policy expert; former World Web Foundation,Advocates for equitable digital access in Africa; her Global South perspective ensures Solomon's institutional protection is not limited to Western contexts.,International & Global South Voices,International & Global South Voices
295,Urvashi Aneja,"Founder, Digital Futures Lab (India)",Researches AI's societal impact in India; her work on algorithmic governance in the world's largest democracy informs Solomon's global institutional strategy.,International & Global South Voices,International & Global South Voices
296,Birhanu Yadete,"AI policy researcher, Ethiopian AI Initiative",Represents emerging African AI governance voices; connecting Solomon to Global South institutional concerns ensures comprehensive mission coverage.,International & Global South Voices,International & Global South Voices
297,Vidushi Marda,"Senior Programme Officer, Article 19",Works on AI accountability and freedom of expression globally; her international human rights perspective broadens Solomon's institutional protection framework.,International & Global South Voices,International & Global South Voices
298,Amba Kak and Bogdana Rakova's networks — Raesetje Sefala,"Research Fellow, Distributed AI Research Institute",Studies AI's impact on spatial inequality in South Africa; her applied research connects Solomon's mission to concrete Global South institutional challenges.,International & Global South Voices,International & Global South Voices
299,Sabelo Mhlambi,"Founder, Carr Center Technology and Human Rights Project, Harvard",Studies AI ethics through an Ubuntu philosophy lens; his framework of relational ethics provides non-Western philosophical grounding for Solomon's mission.,International & Global South Voices,International & Global South Voices
300,Bianca Wylie,"Co-founder, Digital Public; Open government advocate",Leads advocacy for transparent government technology procurement in Canada; her practical institutional advocacy methodology could inform Solomon's civic engagement strategy.,International & Global South Voices,International & Global South Voices
